Value.ElapsedTime,Value.Mode,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.LostFocusTime,Value.CurrentRepetition,Value.TrajectoryRepetitionStart,Value.TrajectoryRepetitionEnd
5764,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.041969799,1,,
5806,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
5806,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.025834586,1.1830827,0.498111665,,,,
5847,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.0278253,1,,
5889,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.0280689,1,,
5890,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
5890,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.021101642,1.18669951,0.497896373,,,,
5973,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
5973,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.016265187,1.189293385,0.499325395,,,,
6000,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.0143482,1,,
6056,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
6056,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.008492462,1.188471317,0.498474091,,,,
6140,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
6140,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.001793397,1.189515233,0.498802155,,,,
6223,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
6223,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,-0.007279997,1.19032371,0.499176025,,,,
6307,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
6307,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,-0.011874693,1.202828407,0.49916774,,,,
6334,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.041824199,1,,
6390,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
6390,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,-0.025742397,1.197060227,0.497615248,,,,
6474,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
6474,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,-0.029756434,1.210572839,0.497503668,,,,
6529,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.041882403,1,,
6557,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
6557,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,-0.03631613,1.206932783,0.498006523,,,,
6641,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
6641,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,-0.03783527,1.21317327,0.496342421,,,,
6682,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.0697053,1,,
6725,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
6725,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,-0.037611064,1.208943129,0.500803828,,,,
6808,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
