Value.ElapsedTime,Value.Time,Value.TimerShowed,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
55435,2022-09-28 11:04:21 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
55435,2022-09-28 11:04:21 AM,,PegboardData,,,RightControllerPosition,0.04686180502176285,-0.26036176085472107,0.3581291735172272
55519,2022-09-28 11:04:21 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
55519,2022-09-28 11:04:21 AM,,PegboardData,,,RightControllerPosition,0.04286876320838928,-0.2666749060153961,0.35537034273147583
55602,2022-09-28 11:04:21 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
55602,2022-09-28 11:04:21 AM,,PegboardData,,,RightControllerPosition,0.04181043431162834,-0.24829819798469543,0.3526083528995514
55686,2022-09-28 11:04:21 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
55686,2022-09-28 11:04:21 AM,,PegboardData,,,RightControllerPosition,0.04333287477493286,-0.22348392009735107,0.35097676515579224
55770,2022-09-28 11:04:21 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
55770,2022-09-28 11:04:21 AM,,PegboardData,,,RightControllerPosition,0.04593176767230034,-0.17520029842853546,0.34687620401382446
55853,2022-09-28 11:04:21 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
55853,2022-09-28 11:04:21 AM,,PegboardData,,,RightControllerPosition,0.04786170274019241,-0.12240158021450043,0.35733193159103394
55937,2022-09-28 11:04:21 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
55937,2022-09-28 11:04:21 AM,,PegboardData,,,RightControllerPosition,0.03757790848612785,-0.0783926472067833,0.37966251373291016
56019,2022-09-28 11:04:22 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
56019,2022-09-28 11:04:22 AM,,PegboardData,,,RightControllerPosition,0.020307203754782677,-0.05451538786292076,0.4147498309612274
56103,2022-09-28 11:04:22 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
