Value.ElapsedTime,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.Delay,Value.CurrentRepetition
220286,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.3875316083431244,0.7351461052894592,0.29514771699905396,,
220287,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.761601448059082,-0.3110405206680298,,
220287,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.3875316083431244,0.7351461052894592,0.29514771699905396,,
220343,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016268730164,-0.31104040145874023,,
220343,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.38997966051101685,0.7389700412750244,0.29427701234817505,,
220370,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016864776611,-0.3110404908657074,,
220370,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.39161115884780884,0.7404544353485107,0.29412755370140076,,
220371,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016864776611,-0.3110404908657074,,
220371,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.39161115884780884,0.7404544353485107,0.29412755370140076,,
220426,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016864776611,-0.31104037165641785,,
220426,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.39559206366539,0.7419594526290894,0.2926695942878723,,
220453,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016864776611,-0.3110404908657074,,
220453,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.397483766078949,0.7414578199386597,0.2911893129348755,,
220454,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016864776611,-0.3110404908657074,,
220454,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.397483766078949,0.7414578199386597,0.2911893129348755,,
220510,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620217084884644,0.7616016268730164,-0.3110402822494507,,
220510,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.4007786810398102,0.7390827536582947,0.28822293877601624,,
220537,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016268730164,-0.3110404908657074,,
220537,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.40237149596214294,0.7374886274337769,0.28703033924102783,,
220537,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016268730164,-0.3110404908657074,,
220537,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.40237149596214294,0.7374886274337769,0.28703033924102783,,
220594,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620217084884644,0.7616018056869507,-0.3110402226448059,,
220594,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.4061407148838043,0.733802855014801,0.28479766845703125,,
220621,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616017460823059,-0.31104037165641785,,
220621,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.40710169076919556,0.7324762940406799,0.28437384963035583,,
220621,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616017460823059,-0.31104037165641785,,
220621,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.40710169076919556,0.7324762940406799,0.28437384963035583,,
220677,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616015672683716,-0.3110405206680298,,
220677,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.4083210825920105,0.7285236716270447,0.28379571437835693,,
220704,,2022-10-04 11:25:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016864776611,-0.31104037165641785,,
220704,,2022-10-04 11:25:49 AM,FingerNoseData,,,RightControllerPosition,-0.40816211700439453,0.7264684438705444,0.2838788628578186,,
